Date_,Month,Year,Coast,Season,Land,Island,No_Strand,Region,Location_Desc,Lat,Long,Record_type,Incident_type,Cond_Animal,Sex,No_of_females,No_of_males,No_of_individuals,Length
1/1/18,1,1918,Unknown,Summer,Mainland,North,1,Auckland,TE NGAIO,,,,Stranding,Unknown,Unknown,,,1,
15/1/83,1,1983,West,Summer,Mainland,North,1,Auckland,"BIRDS BEACH, TAPORA, KAIPARA HARBOUR",-36.3153,174.266,Beach cast,Death Report,Decomposed,Unknown,,,1,1300
1/1/04,1,2004,West,Summer,Mainland,North,1,Auckland,4 KM NORTH RIMMER RD MURIWAI BEACH,-36.6495,174.3036,Beach cast,Death Report,Decomposed,Female,,,1,1200
23/1/76,1,1976,East,Summer,Mainland,North,1,Bay of Plenty,"WAIOTAHI BEACH,NORTH OF OPOTIKI",-37.9909,177.2346,Live Stranding,Stranding,Live,Male,,1,1,1005
23/1/78,1,1978,East,Summer,Mainland,North,1,Bay of Plenty,WAIOTAHI BEACH,-37.9909,177.2346,Live Stranding,Stranding,Live,Male,,1,1,1006
8/1/99,1,1999,East,Summer,Mainland,North,1,Bay of Plenty,"THORNTON BEACH WHAKATANE, GOLF LINKS ROAD",-37.9212,176.9425,Accident/Collision,Accident,Wounded/sick,Female,1,,1,1180
19/1/00,1,2000,East,Summer,Mainland,North,1,Bay of Plenty,"RAUKOKERE, ""MIKA'S BOAT SHED""",-37.6383,177.8831,Beach cast,Death Report,Decomposed,Female,,1,1,1200
22/1/52,1,1952,East,Summer,Mainland,South,1,Canterbury,LEITHFIELD,-43.2133,172.7556,,Stranding,Unknown,Male,,1,1,1500
1/1/54,1,1954,Island,Summer,Island,Chatham,1,Chatham Islands,AWARAKAU,,,,Stranding,Unknown,Unknown,,,1,
1/1/79,1,1979,Island,Summer,Island,Chatham,1,Chatham Islands,PINNACLES,-44.0626,-176.4177,,Stranding,Unknown,Unknown,,,1,
27/1/79,1,1979,Island,Summer,Island,Chatham,1,Chatham Islands,NORTH OF PT. DURHAM,-44.0045,-176.6771,,Stranding,Unknown,Unknown,,,1,
22/1/88,1,1988,Island,Summer,Island,Chatham,1,Chatham Islands,WHAREKAURI BCH.,-43.7052,-176.5894,,Stranding,Unknown,Unknown,,,1,2491
24/1/96,1,1996,East,Summer,Mainland,North,1,Gisborne,"TURIHAUA BEACH, GISBORNE",-38.6291,178.1689,Beach cast,Death Report,Decomposed,Female,1,,1,900
8/1/12,1,2012,East,Summer,Mainland,North,2,Gisborne,Horoera Beach,-37.6408,178.4582,Beach cast,Death Report,Decomposed,Female,1,,2,1150
19/1/90,1,1990,East,Summer,Mainland,North,1,Hawkes Bay,PORANGAHAU NZMS 260 V24 216 933,-40.3155,176.6677,Live Stranding,Stranding,Wounded/sick,Female,1,,1,1085
1/1/08,1,2008,East,Summer,Mainland,North,1,Hawkes Bay,WAIMARAMA,-39.7804,177.0032,Beach cast,Death Report,Decomposed,Unknown,,,1,
1/1/20,1,1920,Unknown,Summer,Unknown,Unknown,1,no georeference,MANAMAU,,,,Stranding,Unknown,Unknown,,,1,
1/1/20,1,1920,Unknown,Summer,Unknown,Unknown,1,no georeference,TAPUANGA,,,,Stranding,Unknown,Unknown,,,1,
1/1/72,1,1972,Unknown,Summer,Unknown,Unknown,1,no georeference,WHANGAETE BAY,,,,Stranding,Unknown,Unknown,,,1,
30/1/12,1,2012,West,Summer,Mainland,North,1,Northland,"500m South of Wamamaku River, south of Hokianga Harbour entrance",-35.5956,173.4146,Beach cast,Death Report,Decomposed,Unknown,,,1,
11/1/50,1,1950,East,Summer,Mainland,South,1,Otago,SHAG POINT,-45.4602,170.8156,,Stranding,Unknown,Male,,1,1,1500
1/1/86,1,1986,South,Summer,Mainland,South,1,Southland,"BLUECLIFF BEACH, TEWAEWAE BAY, SOUTHLAND",-46.1511,167.477,,Stranding,Freshly dead,Unknown,,,1,375
17/1/92,1,1992,South,Summer,Mainland,South,1,Southland,"BACK BEACH, GREENHILLS NZMS 260 E47 467 954 INVERCARGILL",-46.555,168.2638,,,Decomposed,Male,,1,1,1010
1/1/50,1,1950,West,Summer,Mainland,North,1,Taranaki,"TONGAPARUTU, N.P.",-38.8151,174.5853,,Stranding,Unknown,Unknown,,,1,762
1/1/50,1,1950,West,Summer,Mainland,North,1,Taranaki,"WAITARA, N.P.",-38.9884,174.2229,,Stranding,Unknown,Unknown,,,1,1500
1/1/60,1,1960,West,Summer,Mainland,North,1,Taranaki,WAITARA,-38.9884,174.2229,,Stranding,Unknown,Unknown,,,1,
15/1/72,1,1972,West,Summer,Mainland,North,1,Taranaki,BELL BLOCK TARANAKI,-39.0189,174.1463,,Stranding,Unknown,Unknown,,,1,1219
18/1/82,1,1982,West,Summer,Mainland,South,1,Tasman,FAREWELL SPIT,-40.5238,172.9057,,,Unknown,Unknown,,,1,
16/1/08,1,2008,West,Summer,Mainland,South,1,Tasman,"PUPONGA, FAREWELL SPIT, COLLINGWOOD",-40.5285,172.7373,Live Stranding,Stranding,Live,Male,,1,1,1500
14/1/85,1,1985,West,Summer,Mainland,North,1,Waikato,"300M UP THE MARAKOPA RIVER,AUCKLAND",-38.3066,174.7172,,Stranding,Decomposed,Unknown,,,1,
6/1/12,1,2012,West,Summer,Mainland,North,1,Waikato,"On sand beach, north of Mussel Rocks, south of Te Hara Point. Te Akau",-37.7419,174.825,Beach cast,Death Report,Decomposed,Male,,1,1,1510
6/1/17,1,2017,West,Summer,Mainland,North,1,Waikato,,-37.5383,174.7577,Beach cast,Death Report,Freshly dead,Female,1,,1,1200
1/01/1873,1,1873,West,Summer,Mainland,North,1,Wellington,WAIKANAE BEACH,-40.8626,175.019,,Death Report,Decomposed,Unknown,,,1,
1/1/46,1,1946,West,Summer,Mainland,North,1,Wellington,TE HORO BEACH,-40.7929,175.0811,,Stranding,Unknown,Unknown,,,1,
1/1/62,1,1962,West,Summer,Mainland,North,1,Wellington,RAUMATI SOUTH BEACH,-40.9355,174.9746,,Stranding,Decomposed,Male,,1,1,1463
27/1/93,1,1993,West,Summer,Mainland,South,1,West Coast,"HECTOR,NORTH OF WESTPORT",-41.6046,171.8764,Live Stranding,Stranding,Freshly dead,Male,,1,1,1530
10/1/08,1,2008,West,Summer,Mainland,South,1,West Coast,"MAHINAPUA, SOUTH OF HOKITIKA",-42.7883,170.8922,Beach cast,Death Report,Decomposed,Male,,,1,1150
18/2/53,2,1953,West,Summer,Mainland,North,1,Auckland,LAINGHOLM,-36.9711,174.6378,,Stranding,Unknown,Male,,1,1,1260
26/2/12,2,2012,West,Summer,Mainland,North,1,Auckland,"6.9km north of Wilson Rd, Rangitira/Te Oneone Beach",-36.5505,174.2178,Beach cast,Death Report,Decomposed,Female,1,,1,1090
5/2/13,2,2013,East,Summer,Mainland,North,1,Bay of Plenty,Papamoa Beach,-37.6927,176.2795,Beach cast,Death Report,Decomposed,Female,1,,1,1240
27/2/78,2,1978,Island,Summer,Island,Chatham,1,Chatham Islands,"OKAWA, CHATHAM IS.",-43.7574,-176.2406,,Stranding,Unknown,Male,,1,1,1706
14/2/84,2,1984,Island,Summer,Island,Chatham,1,Chatham Islands,"OKAWA, CHATHAM IS.",-43.7574,-176.2406,,Stranding,Unknown,Male,,1,1,1570
13/2/89,2,1989,Island,Summer,Island,Chatham,1,Chatham Islands,"WAIHERE BAY, PITT IS.",-44.2675,-176.2396,,Stranding,Unknown,Male,,1,1,1620
28/2/04,2,2004,East,Summer,Mainland,North,1,Hawkes Bay,NEAR NAPIER,-39.5896,176.9396,Beach cast,Death Report,Freshly dead,Female,1,,1,1159
22/2/44,2,1944,East,Summer,Mainland,North,1,Northland,RUAKAKA,-35.9153,174.4604,,Stranding,Unknown,Male,,1,1,670
23/2/96,2,1996,West,Summer,Mainland,North,1,Northland,6KM NORTH OF MAHUTA GAP,-35.9658,173.7533,Beach cast,Death Report,Decomposed,Male,,,1,1200
9/2/00,2,2000,West,Summer,Mainland,North,1,Northland,"GLINKS GULLEY, DARGAVILLE",-36.0826,173.8581,Beach cast,Death Report,Decomposed,Unknown,,,1,1100
28/2/01,2,2001,East,Summer,Mainland,North,1,Northland,WHANANAKI NORTH,-35.5119,174.482,Beach cast,Death Report,Decomposed,Unknown,,,1,1000
9/2/05,2,2005,East,Summer,Mainland,North,1,Northland,WHANANAKI NE OF WHANGAREI,-35.5086,174.4618,Beach cast,Death Report,Decomposed,Female,1,,1,1130
4/2/10,2,2010,East,Summer,Mainland,North,1,Northland,"Pataua North Beach, Whangarei",-35.7026,174.5167,Beach cast,Death Report,Decomposed,Unknown,,,1,
9/2/90,2,1990,West,Summer,Mainland,South,1,Tasman,"PAKAWAU CAMPING GROUND, GOLDEN BAY NZMS 260:M25 833:673",-40.6008,172.6879,,Stranding,Decomposed,Male,,1,1,1490
7/2/15,2,2015,East,Summer,Mainland,North,1,Wellington,"2km South of Honeycomb rock. Wairarapa Coast, at southern most extent of Glen Burn Station. Near sign ""track ends here""",-41.3647,175.7906,Beach cast,Death Report,Freshly dead,Male,,1,1,1450
18/2/73,2,1973,West,Summer,Mainland,South,1,West Coast,"CARTERS BEACH, WESTPORT",-41.7456,171.558,,Stranding,Unknown,Unknown,,,1,
17/2/75,2,1975,West,Summer,Mainland,South,1,West Coast,"CARTERS BEACH,WESTPORT",-41.7456,171.558,Beach cast,Death Report,Decomposed,Male,,1,1,1300
8/2/00,2,2000,West,Summer,Mainland,South,1,West Coast,"HIBERNIA CREEK MOUTH, BARRYTOWN FLATS, NEAR PUNAKAIKI",-42.1468,171.3233,Beach cast,Death Report,Decomposed,Unknown,,,1,
24/3/02,3,2002,West,Autumn,Mainland,North,1,Auckland,,-37.0459,174.49,Beach cast,Death Report,Decomposed,Female,,,1,1120
13/3/07,3,2007,East,Autumn,Mainland,North,1,Bay of Plenty,"RANGITAIKI RIVER 1.5-2KM WEST THEREOF, WHAKATANE",-37.9034,176.8587,Beach cast,Death Report,Freshly dead,Unknown,,,1,1130
